"","ImageNumber","ObjectNumber","TP53BP1_Count","rH2AX_Count","Intensity_DAPI","Intensity_TP53BP1","MeanIntensity_TP53BP1_foci","MeanIntensity_rH2AX_foci","sample","treat","replicate"
"507",16,32,1,12,86.0679640739691,1.25165180442855,0.0375829711556435,0.0302925356685415,"FUSClone110","2h","R1"
"508",16,33,0,7,256.60781338485,2.21821928326972,0,0.0271344742672109,"FUSClone110","2h","R1"
"509",16,34,12,7,127.351751584327,6.11796753155068,0.0309971438104063,0.0274999029531711,"FUSClone110","2h","R1"
"510",16,35,3,3,161.207386026625,2.38722821557894,0.0313328295494571,0.0264572599811028,"FUSClone110","2h","R1"
"511",16,36,6,0,111.015457890229,2.77607387746684,0.026211873939237,0,"FUSClone110","2h","R1"
"512",16,37,7,2,121.745052719023,3.15611507394351,0.0318269593752034,0.0320912736921228,"FUSClone110","2h","R1"
"513",16,38,9,7,98.6915393392555,4.51125354645774,0.0307660304797957,0.0336981613901186,"FUSClone110","2h","R1"
"514",16,39,1,6,78.2756547299214,1.74140536854975,0.0275459254367484,0.0260397527973647,"FUSClone110","2h","R1"
"515",16,40,10,5,125.073274411494,4.64063480985351,0.0326972993095184,0.0296554466540163,"FUSClone110","2h","R1"
"516",17,1,0,0,132.846067475621,1.33905547275208,0,0,"FUSClone110","mock","R1"
"517",17,2,0,0,92.8448315779679,0.693247889401391,0,0,"FUSClone110","mock","R1"
"518",17,3,3,0,133.871016079793,2.09060807852075,0.0334262859645403,0,"FUSClone110","mock","R1"
"519",17,4,3,0,88.6941944183782,2.46359961479902,0.0298845492602725,0,"FUSClone110","mock","R1"
"520",17,5,9,0,201.416602449492,3.61548792966641,0.0296885512004618,0,"FUSClone110","mock","R1"
"521",17,6,5,0,206.562646586681,4.68995197303593,0.0294238215548774,0,"FUSClone110","mock","R1"
"522",17,7,3,0,260.025178236887,3.30891892057844,0.0323175790623599,0,"FUSClone110","mock","R1"
"523",17,8,5,0,245.934524213895,4.92684827628545,0.0324035660688522,0,"FUSClone110","mock","R1"
"524",17,9,2,0,214.986694808584,2.40729381726123,0.0394280726090074,0,"FUSClone110","mock","R1"
"525",17,10,4,0,99.0776537044439,2.47824827861041,0.030173026456032,0,"FUSClone110","mock","R1"
"526",17,11,2,0,260.164004673716,2.41710537206382,0.037332722855111,0,"FUSClone110","mock","R1"
"527",17,12,5,1,192.961807337822,3.40761427907273,0.0337087349965386,0.0293717101449147,"FUSClone110","mock","R1"
"528",17,13,1,0,97.2839860292152,1.4756389844697,0.0359390659878651,0,"FUSClone110","mock","R1"
"529",17,14,5,0,178.36171579361,4.04921038402244,0.0291183720254378,0,"FUSClone110","mock","R1"
"530",17,15,1,0,138.404776607407,1.68856336851604,0.03518425244838,0,"FUSClone110","mock","R1"
"531",17,16,4,0,192.602854262106,2.66466774698347,0.0294791104041529,0,"FUSClone110","mock","R1"
"532",17,17,4,1,159.796231517335,2.75675595388748,0.0317047395742787,0.0224307624002298,"FUSClone110","mock","R1"
"533",17,18,2,0,110.159457330592,2.53484398848377,0.0410700815005435,0,"FUSClone110","mock","R1"
"534",17,19,3,1,76.1867097818758,4.19974062009715,0.0355352951748366,0.0289330128580332,"FUSClone110","mock","R1"
"535",17,20,2,0,95.7899599764496,1.10600443393923,0.0272567002767963,0,"FUSClone110","mock","R1"
"536",18,1,0,0,132.933928953251,1.26111239078455,0,0,"FUSClone110","mock","R1"
"537",18,2,1,0,251.979492743034,3.53246358665638,0.0353780426084995,0,"FUSClone110","mock","R1"
"538",18,3,1,0,192.813703253632,2.76961930282414,0.0320507275561492,0,"FUSClone110","mock","R1"
"539",18,4,2,0,161.182361192768,2.28670177096501,0.0369607417637275,0,"FUSClone110","mock","R1"
"540",18,5,2,1,103.892729443498,4.12523082643747,0.0377904353842426,0.0274967572962244,"FUSClone110","mock","R1"
"541",18,6,6,2,180.017289018258,5.51940186647698,0.0360701546058177,0.0311345405147209,"FUSClone110","mock","R1"
"542",18,7,2,0,175.552483793581,2.67945374338888,0.0280582896899432,0,"FUSClone110","mock","R1"
"543",18,8,6,4,238.56907074526,4.87682919157669,0.0396272227393522,0.0325094204033828,"FUSClone110","mock","R1"
"544",18,9,1,0,182.743236987852,2.26018159859814,0.028543908149004,0,"FUSClone110","mock","R1"
"545",18,10,4,1,121.269779965281,2.74065767414868,0.0366849774960428,0.0267490660771728,"FUSClone110","mock","R1"
"546",18,11,6,0,199.500328697963,3.36598766315728,0.0282105496956216,0,"FUSClone110","mock","R1"
"547",18,12,0,0,254.391837232281,1.73383689299226,0,0,"FUSClone110","mock","R1"
"548",18,13,1,0,299.150683637243,3.18202490126714,0.0500508636857072,0,"FUSClone110","mock","R1"
"549",18,14,4,0,233.803113693604,3.4170901319012,0.0344679054493705,0,"FUSClone110","mock","R1"
"550",18,15,3,0,288.996262311004,3.83088429854251,0.0321552240910629,0,"FUSClone110","mock","R1"
"551",18,16,8,1,211.812757225009,6.66099034878425,0.0398976298686437,0.0222369727678597,"FUSClone110","mock","R1"
"552",18,17,5,1,228.571145918453,3.57543299999088,0.0324784043783115,0.0288044556975365,"FUSClone110","mock","R1"
