,Data Set,Target,Sample,Ctrl,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM
,Multiple,MCM4,GUSClone110,,0.58003115129626,0.0357935969636133,0.0357935969636133,0.00843663171200972,0.00843663171200972,0.583262030415091,0.0624447938290754,0.0624447938290754,0.014718379055445,0.014718379055445,0.583262030415091,0.0624447938290754,0.0624447938290754,0.014718379055445,0.014718379055445,18,21.0461862470083,0.0890283991119773,0.0209841949100872
,Multiple,MCM4,GUSU2OS,*,1,0.111232713981463,0.111232713981463,0.0262178021153587,0.0262178021153587,1,0.135264718149502,0.135264718149502,0.0318821998195999,0.0318821998195999,1,0.135264718149502,0.135264718149502,0.0318821998195999,0.0318821998195999,18,20.260388536178,0.160474884845677,0.0378242930948361
,Multiple,NOS2,FUSClone110,,1.22067843374931,0.306533796294303,0.306533796294303,0.0722507086741857,0.0722507086741857,1.06128194528152,0.310026373287902,0.310026373287902,0.0730739169661825,0.0730739169661825,1.06128194528152,0.310026373287902,0.310026373287902,0.0730739169661825,0.0730739169661825,18,25.5765562525198,0.362286066134826,0.0853916446977777
,Multiple,NOS2,GUSClone110,,0.460723304963001,0.0815953790473942,0.0815953790473942,0.0192322152792997,0.0192322152792997,0.463289617655409,0.0915151461270359,0.0915151461270359,0.0215703268025683,0.0215703268025683,0.463289617655409,0.0915151461270359,0.0915151461270359,0.0215703268025683,0.0215703268025683,18,26.9822669689191,0.255505305338492,0.0602231780113291
,Multiple,NOS2,GUSU2OS,*,1,0.215076703063646,0.215076703063646,0.0506940650705165,0.0506940650705165,1,0.228433394049797,0.228433394049797,0.0538422673273567,0.0538422673273567,1,0.228433394049797,0.228433394049797,0.0538422673273567,0.0538422673273567,18,25.8642394502768,0.31029009292067,0.0731360762797365
,Multiple,NOS3,FUSClone110,,1.10310323248113,0.12118040774819,0.12118040774819,0.0285624960218987,0.0285624960218987,0.959059742554885,0.177735708143053,0.177735708143053,0.0418927081623154,0.0418927081623154,0.959059742554885,0.177735708143053,0.177735708143053,0.0418927081623154,0.0418927081623154,18,26.5036227583509,0.158485958669518,0.0373554986993556
,Multiple,NOS3,GUSClone110,,2.43618801105617,0.20715380517811,0.20715380517811,0.0488266201300128,0.0488266201300128,2.44975802183382,0.298875068722977,0.298875068722977,0.0704455292738709,0.0704455292738709,2.44975802183382,0.298875068722977,0.298875068722977,0.0704455292738709,0.0704455292738709,18,25.3605650918448,0.122675165494379,0.0289148138014191
,Multiple,NOS3,GUSU2OS,*,1,0.146371574213406,0.146371574213406,0.0391194487049514,0.0391194487049514,1,0.165373713310468,0.165373713310468,0.0441979839990249,0.0441979839990249,1,0.165373713310468,0.165373713310468,0.0441979839990249,0.0441979839990249,14,26.6451905683368,0.211169544244791,0.0564374346489436
,Multiple,PML,FUSClone110,,0.927343264337696,0.0720043482625911,0.0720043482625911,0.0169715876437987,0.0169715876437987,0.806250554044069,0.135645569042169,0.135645569042169,0.0319719672358753,0.0319719672358753,0.806250554044069,0.135645569042169,0.135645569042169,0.0319719672358753,0.0319719672358753,18,23.3526103941627,0.112019270701311,0.0264031953121563
,Multiple,PML,GUSClone110,,1.37977366592453,0.109095624583027,0.109095624583027,0.0257140853134802,0.0257140853134802,1.38745925645874,0.163612790536634,0.163612790536634,0.0385639045591028,0.0385639045591028,1.38745925645874,0.163612790536634,0.163612790536634,0.0385639045591028,0.0385639045591028,18,22.7793541324625,0.114070677282536,0.0268867164803411
