ERD	MRD	LRD
101929427	101929341	
101929653	2831	
101929637	64321	
112936	105375843	
29087	195814	
27034	442388	
112937	101929759	
4842	101926892	
2904	23471	
121512	105375903	
56899	377677	
160777	759	
105370027	761	
8076	760	
57494	101929709	
10219	4683	
100287314	793	
636	101937451	
144165	169200	
115749	55529	
29110	100506365	
283349	51633	
2799	100130742	
23329	85453	
8835	90390	
8738	4856	
101928731	79075	
121551	28998	
11108	100130231	
101929162	100500839	
9671	729330	
100506465	10086	
9904	101927798	
23389	51305	
283455	728577	
54621	340481	
51347	203238	
5564	92949	
11113	25769	
114795	23586	
2802	9630	
2251	4915	
57102	440173	
10635	58499	
8798	5069	
10566	23189	
144568	1761	
1911	401491	
4074	158358	
645485	23081	
10059	4781	
51067	158326	
101927058	441389	
105369738	100289279	
11260	220869	
100500856	445571	
693129	644019	
7334	101927422	
28977	2776	
144481	7088	
105369911	64078	
11137	101927873	
121549	83856	
1240	2218	
5985	340512	
55884	79987	
5037	4593	
387890	23245	
100302274	7436	
107161159	100616288	
55743	26953	
101928530	9350	
100289635	100422869	
221178	3445	
23281	3439	
171425	338376	
8874	407035	
93492	10210	
54737	100129250	
221154	4712	
55504	389730	
4285	26165	
221178	105376064	
143	441425	
56163	642929	
55835	216	
219333	301	
10240	101927502	
10910	347127	
160897	105376108	
10257	389761	
9071	389762	
5611	389763	
55269	2619	
253832	100506834	
100506697	54769	
100313842	26134	
100874231	255220	
338872	101928775	
100861547	58483	
479	22954	
2971	100124538	
219402	106146149	
222484	85417	
100313896	4281	
10166	9758	
693206	10742	
144983	4983	
11166	6567	
100507533	546	
100874063	79710	
104326054	158763	
121793	22866	
283601	23676	
9628	5638	
9369	347404	
161176	94122	
2530	4129	
8110	80258	
22938	1184	
57143	8852	
123016	139189	
1112	57477	
145264	389860	
400242	340554	
79789	1896	
64919	5255	
693210	554203	
102465832	100302692	
8846	340533	
81892	538	
283579	5230	
400236	54885	
256394	55285	
327657	139212	
5267	115201	
5104	1288	
12	9949	
388007	57529	
145258	57481	
101929080	203427	
677768	2892	
51218	10495	
100506999	286410	
27004	55217	
9623	10251	
8115	257240	
57596	4114	
8788	4115	
100616495	4112	
338002	7504	
100507277	1536	
4916	6990	
9899	25763	
123283	100616252	
123606	8406	
23191	58526	
57099	4128	
100533483	4693	
161582	139341	
8128	389857	
5046	441495	
283683	23708	
81614	9500	
114791	401589	
1133	81557	
26258	101340250	
9488	280658	
9236	203569	
693213	389860	
145788	90736	
283738	100463488	
104613533	90737	
100144604	158586	
283777	286430	
80213	7789	
29117	407008	
54715	11326	
55567	27112	
5579	51132	
197370	8823	
85320	51616	
54947	55086	
1012	100616144	
2903	79589	
92017	92129	
124152	9075	
81691	54830	
6338	340547	
4706	5716	
94160	6998	
6477	10857	
23090	101928336	
55027	104266960	
64282	3547	
85407	347468	
283856	574508	
2775	347487	
54768	105373343	
463	100128811	
3294	80114	
400550	57713	
283953	10659	
101927009	10529	
104355218	56243	
104266959	6935	
101927227	3778	
283820	2894	
102723728	22986	
653190	57678	
51704	26033	
6296	105	
112479	80760	
123879	3698	
57149	783	
91949	221078	
23062	57512	
124454	54518	
56061	23590	
79728	55130	
84516	7582	
5347	414201	
10595	7580	
63928	414208	
102466247	102724264	
10368	220980	
105371156	5599	
79831	58504	
400512	57705	
3566	253430	
728689	8030	
83752	219621	
9683	84159	
255919	22891	
113	101929328	
102465462	81619	
4313	387694	
84290	5728	
26077	55328	
55783	142910	
794	643414	
105371333	355	
7571	101926942	
283902	728558	
5713	26507	
283922	119587	
4094	1793	
102467146	642938	
101928248	642394	
93517	100216001	
102724163	22944	
3281	221079	
23417	101929025	
29948	2572	
3394	645528	
102466732	283078	
100506542	220930	
146513	219770	
732275	8325	
2294	100616500	
64779	100129482	
146512	107984178	
103752587	9790	
2303	101929445	
2300	642819	
101928614	8187	
102724344	220992	
9482	414197	
54549	643236	
55890	83937	
22861	11067	
23533	220979	
9423	7570	
101928266	170371	
8735	118461	
92521	644168	
162394	2074	
51326	267004	
100506084	55847	
474170	100507027	
162282	283025	
22901	101929574	
5573	8513	
54757	643418	
400620	340654	
23302	118932	
339166	57559	
105371508	100132116	
4626	59	
4622	100616192	
4619	100616128	
4620	9585	
94150	643529	
101928475	101926924	
107987252	54619	
284194	100422892	
644945	118672	
256223	64376	
26022	36	
91607	340784	
55106	3167	
440446	9184	
55062	2849	
693220	105378533	
102723505	594857	
102606463	101927381	
400618	1740	
102723517	5140	
101928251	196074	
6169	10003	
85001	2977	
94015	23705	
64446	4978	
124602	7762	
388419	338323	
350383	55553	
11314	10196	
5797	103695435	
753	81930	
102724208	55761	
125488	219956	
23239	283197	
81035	26011	
79822	338699	
284217	65084	
5932	101929222	
91768	120103	
85019	101929295	
114876	143872	
729950	79659	
6875	143884	
284252	1662	
8170	57569	
125336	22997	
105376854	390036	
400643	390077	
101927188	390078	
339291	390079	
100192426	390081	
100128893	390083	
2627	390084	
64693	338751	
26256	120793	
100302195	120796	
55364	196335	
59340	7761	
29906	27288	
9063	101928132	
51320	120227	
51046	102464826	
284395	9152	
126231	387758	
3982	8424	
374879	693195	
7675	102466876	
57130	5897	
8725	119710	
22847	399881	
84079	8539	
23094	390113	
100049587	256148	
125963	256144	
390882	219952	
125962	255649	
390883	26973	
57693	159989	
162998	143686	
125958	105369443	
26648	253935	
84527	646522	
100529215	219938	
7730	283174	
10781	100616119	
147741	11010	
79088	2904	
101928238	6660	
93134	55297	
284385	4848	
51291	29953	
94039	160777	
7561	105370027	
342865	100862680	
10775	29121	
79156	51348	
83636	160364	
898	51267	
400684	51071	
147991	160492	
9141	80070	
57677	196528	
284406	23041	
84924	23426	
100631378	196446	
83889	27345	
945	5801	
284369	121278	
105372444	3747	
402665	100130268	
147645	84698	
2109	256710	
125875	6857	
4818	4659	
147646	283310	
89790	374462	
100129083	8825	
27181	121601	
729767	84530	
89858	114795	
946	101927592	
7728	92293	
8778	121256	
102238594	440119	
147650	23504	
407056	3820	
406887	374443	
406910	160365	
3036	969	
2357	9976	
2358	100431172	
2359	387836	
55422	100506159	
128553	400002	
1002	51266	
149840	387837	
631	102724020	
140836	283420	
84532	64581	
81610	4973	
5335	120939	
84181	23710	
284749	3824	
55734	55907	
105372672	5744	
51507	9169	
140687	9840	
2778	58158	
51497	441639	
128611	121364	
100507629	254783	
149837	283365	
101929207	390321	
56261	254786	
1114	390323	
51605	403282	
84515	283416	
11034	406891	
6238	102724421	
100303755	55832	
57325	101927922	
7692	100885789	
440757	101928062	
55184	5787	
8530	7103	
57136	144321	
60625	100302136	
7150	5074	
101927117	4618	
102466912	4617	
6431	101928420	
7764	574016	
200232	574028	
388799	6910	
105372682	6926	
7022	105370014	
655	105370024	
1522	26353	
81027	144742	
514	101927616	
51012	101927637	
1908	400087	
7074	105370070	
3763	100996679	
1525	101927694	
57466	100500817	
30811	100190940	
9875	11211	
84677	9271	
100505929	7699	
6647	101060200	
54069	7556	
56246	10795	
10281	647589	
114041	2262	
10317	84899	
150084	23026	
25825	100874179	
191585	10082	
54097	266722	
4600	8803	
4599	4008	
27156	23077	
23523	27199	
728441	87769	
8224	100885778	
64800	259232	
348645	2259	
723778	283480	
100847006	100874182	
100423062	100506622	
2781	122042	
25793	3356	
7078	100874082	
758	55270	
25830	29079	
150379	100873965	
	10562	
	100874151	
	729420	
	104326189	
	100873969	
	100874081	
	283481	
	6656	
	100505996	
	10243	
	79544	
	9472	
	283547	
	341880	
	83851	
	9628	
	9369	
	283587	
	101929241	
	29091	
	394	
	51562	
	57161	
	145407	
	23002	
	341883	
	51635	
	5494	
	26037	
	7253	
	85439	
	54207	
	100129345	
	101101776	
	404785	
	101929572	
	79334	
	441669	
	441670	
	390429	
	390431	
	79317	
	81127	
	122740	
	390433	
	122742	
	390436	
	390437	
	105370431	
	55632	
	101954275	
	101954278	
	64430	
	101927702	
	317761	
	4990	
	101954204	
	2957	
	677845	
	102724294	
	8477	
	101928791	
	105370648	
	283598	
	2585	
	54832	
	4916	
	283755	
	54893	
	4308	
	161725	
	2200	
	22995	
	399694	
	9728	
	9318	
	196951	
	79895	
	64864	
	374618	
	123624	
	28232	
	101927129	
	101927112	
	170691	
	204219	
	283685	
	100616275	
	7681	
	728310	
	145942	
	101928227	
	105370809	
	23741	
	100616332	
	2252	
	55329	
	100506530	
	727915	
	105370973	
	91947	
	388182	
	54715	
	81533	
	101927957	
	105371350	
	51741	
	1012	
	55313	
	729993	
	64131	
	2813	
	9951	
	5257	
	64127	
	80205	
	79068	
	101927480	
	283867	
	283927	
	57687	
	101926950	
	102465867	
	102723692	
	7369	
	204474	
	54988	
	123876	
	348158	
	729264	
	102723655	
	102723713	
	102724101	
	102724127	
	100507534	
	101927132	
	869	
	123970	
	101927228	
	124460	
	1540	
	100422972	
	105371252	
	102724940	
	112267895	
	101927334	
	105371267	
	79191	
	100996345	
	10265	
	10143	
	102465863	
	100422853	
	40	
	124842	
	1770	
	6416	
	93649	
	9912	
	9955	
	3980	
	54752	
	56934	
	252983	
	644139	
	7566	
	100126313	
	101928418	
	100128006	
	100616494	
	60528	
	100302287	
	284123	
	10693	
	91603	
	117584	
	5892	
	54475	
	5797	
	9229	
	91133	
	80206	
	220441	
	9984	
	23136	
	645355	
	645369	
	1000	
	64762	
	55197	
	55250	
	57536	
	56853	
	5874	
	80323	
	57614	
	25914	
	55628	
	10194	
	9658	
	4155	
	9097	
	100616244	
	162655	
	4225	
	441818	
	25800	
	101927809	
	55034	
	25941	
	105372069	
	105372068	
	100422857	
	652991	
	4160	
	8792	
	8710	
	284273	
	2587	
	81931	
	9745	
	163081	
	58491	
	90649	
	148145	
	107985312	
	57616	
	100507527	
	388536	
	374900	
	147923	
	284459	
	148268	
	91120	
	7643	
	100505835	
	7386	
	105372352	
	107985280	
	100996665	
	101927411	
	84911	
	92283	
	101927621	
	342892	
	728485	
	284408	
	25850	
	374899	
	84503	
	148266	
	390927	
	100507433	
	163255	
	51276	
	22835	
	57573	
	101928982	
	140612	
	388566	
	147670	
	90485	
	101929059	
	23619	
	5178	
	100073347	
	23236	
	55617	
	140733	
	54453	
	11122	
	128553	
	55816	
	116154	
	1002	
	57144	
	100131208	
	140862	
	80343	
	55614	
	92675	
	57419	
	51340	
	26074	
	57186	
	55857	
	22803	
	101929608	
	101929663	
	284788	
	105372566	
	92086	
	79953	
	116151	
	284757	
	100506470	
	101929329	
	24141	
	63926	
	6629	
	56914	
	101929526	
	100128496	
	140856	
	51126	
	3642	
	105372556	
	101929591	
	644524	
	4821	
	140828	
	3170	
	101929685	
	6754	
	7056	
	22918	
	200261	
	100505664	
	29107	
	100505683	
	64412	
	63908	
	128817	
	140880	
	10047	
	164380	
	128821	
