"","ensgene","symbol","entrez","W_1","W_2","W_3","C_1","C_2","C_3","F_1","F_2","F_3","WTvsKOlog2FoldChange","WTvsKOpadj","REvsKOlog2FoldChange","REvsKOpadj","WTvsRElog2FoldChange","WTvsREpadj","WT_KO_sign","RE_KO_sign","diff"
"58","ENSG00000078668","VDAC3",7419,2185.45906184633,1877.57648642956,1965.69042205247,1723.13136950347,1205.9417948245,1053.06171832626,2028.71160030295,1931.63658165229,1850.49714569925,0.561076415479625,0.0167957353486797,0.511039817983693,0.0404689501694078,0.0500365974959321,0.922241017211752,1,1,0
"59","ENSG00000078725","BRINP1",1620,95.9898505357805,121.484433367089,131.463372175484,40.1662323893584,58.1981404147899,40.6714859896365,94.0329834459945,144.439425347878,103.401527382246,1.13330634685355,9.11125527352279e-05,1.11195329034453,0.000179897676851752,0.0213530565090205,0.97908471248121,1,1,0
"60","ENSG00000079215","SLC1A3",6507,1733.22518854747,1678.06546577792,1603.64446852158,1084.48827451268,1433.9640171054,977.214893102347,1854.65054583908,1916.22970961519,1455.42527221048,0.488498179362399,0.0380266908279641,0.544359037798633,0.0203788417365469,-0.0558608584362344,0.910321766701131,1,1,0
"61","ENSG00000079277","MKNK1",8569,52.0508344454585,72.1005173642071,54.2547250248028,100.415580973396,113.534077202623,122.014457968909,60.0210532634008,50.0723341205978,60.4801386575402,-0.827803521668488,0.00318155397771852,-0.878670921795083,0.00218408486070961,0.0508674001265956,0.93814316008913,-1,-1,0
"62","ENSG00000080839","RBL1",5933,577.967057803467,527.420222910775,487.249165126595,336.057477657632,348.234774613087,377.035667417441,602.211234409454,580.646489898471,437.017776106097,0.552969666966613,0.010998882877723,0.574678696732621,0.00934411056717831,-0.0217090297660076,0.966650966504815,1,1,0
"63","ENSG00000081307","UBA5",79876,678.688802379744,639.027873077288,640.623099331326,1554.43319346817,1168.73314767406,1328.96828544515,559.19614623735,541.166380303384,523.836039662889,-1.00339282869929,7.78712096913763e-10,-1.26158947953307,3.54193689133492e-15,0.25819665083378,0.29213211312415,-1,-1,0
"64","ENSG00000082641","NFE2L1",4779,5137.48495825304,4680.60755875312,4709.72747619154,3641.73840330183,3936.48405494136,3608.76995956693,5532.94075999783,4910.94046182786,5044.23866126033,0.366050101219986,0.0248675748536473,0.455538414576119,0.00366639848717967,-0.0894883133561335,0.753329715080624,1,1,0
"65","ENSG00000082996","RNF13",11342,221.047050177466,218.276908732737,228.49586116215,486.011411911236,513.288517100934,484.760143822424,389.136495324382,365.913210881292,348.248540334546,-1.10539713574866,2.70183394187053e-12,-0.411950818661913,0.0371896584305141,-0.693446317086745,5.1505000563708e-05,-1,-1,0
"66","ENSG00000083168","KAT6A",7994,878.104336943514,877.058348211177,1021.44953460158,265.097133769765,546.680892748764,610.072289844547,806.282815505017,938.856264761209,910.128538185242,0.857511578121882,0.00226854377466375,0.79995297226453,0.006588779820249,0.0575586058573519,0.929880905305893,1,1,0
"67","ENSG00000083444","PLOD1",5351,5484.26519293512,6180.89092692066,5703.00628818408,3588.18342678268,3088.31771348647,3026.17840349917,4677.64075099437,4450.66015971929,4565.27498253691,0.813525031020905,1.44288148026773e-08,0.481440153768261,0.00328457201794121,0.332084877252645,0.0638213638281243,1,1,0
"68","ENSG00000083857","FAT1",2195,4187.05024097623,3955.65167183082,5004.99838353806,1262.55857143883,2644.67615130816,3505.44240056624,4698.64811963656,4767.4639659823,5212.02227172963,0.719020393662319,0.0267596311110379,0.858125763805748,0.0068084376030474,-0.139105370143429,0.8213601234719,1,1,0
"69","ENSG00000084764","MAPRE3",22924,417.758645289524,516.555761390142,455.94836222767,759.141792158873,716.504974614872,617.766895302046,506.177549188013,455.465654596976,492.620484226739,-0.564265198365024,0.00331775337848634,-0.500819490362896,0.0146427339798717,-0.0634457080021282,0.882051524836615,-1,-1,0
"70","ENSG00000085274","MYNN",55892,160.884397376872,154.077817928991,164.85089526767,119.159822755097,108.763737824361,92.3352654899855,235.082458614986,235.917728068201,211.680485301391,0.543958521238859,0.0248850027164349,1.0230781341208,1.03263813304519e-06,-0.47911961288194,0.0449604080987873,1,1,0
"71","ENSG00000085741","WNT11",7481,45.2909858161781,30.6180279217866,22.9539221258781,123.176445994032,61.0603440417467,82.4422013303442,30.0105266317004,25.0361670602989,46.8233331542247,-1.12453005508307,0.00242034582965003,-1.10333099087214,0.00405051611872355,-0.0211990642109381,0.985302170454302,-1,-1,0
"72","ENSG00000085788","DDHD2",23259,844.305093797112,926.442264214059,944.240887450896,467.267170129536,528.55360311137,594.68307892955,864.303166992971,909.968379691633,921.834371473798,0.737571437396406,1.04534265286878e-05,0.72866670874591,1.93275567157921e-05,0.00890472865049514,0.985302170454302,1,1,0
"73","ENSG00000088826","SMOX",54498,523.888268769225,633.101803156942,556.110931504229,906.417977586521,853.890748708802,834.315077463084,508.17825096346,535.388803289469,651.624719729627,-0.571980795324764,0.00281308979277531,-0.585197325111764,0.0027737013346647,0.0132165297870006,0.979678053190433,-1,-1,0
"74","ENSG00000089280","FUS",2521,11237.5723613156,11664.4809598806,11198.3839171386,1456.69536132073,1845.16727151153,1309.18215712587,26329.2353648785,33141.1446813195,19158.5471489369,2.65528973733585,6.23465436760099e-40,3.77469195651672,7.86957371030805e-83,-1.11940221918087,3.41850919920601e-07,1,1,0
"75","ENSG00000089351","GRAMD1A",57655,1278.96336065984,1719.54795522034,2043.94242929978,2322.94710651789,2341.28256685073,2553.50978253853,1426.50036589349,1554.16821674317,1784.16409039744,-0.486156692644941,0.0445637951322288,-0.561708451639509,0.0184913650864089,0.0755517589945674,0.876041740320889,-1,-1,0
"76","ENSG00000089597","GANAB",23193,12740.9626964675,13509.4640617483,13290.3209108834,9483.24746712751,10491.8844285483,9893.06415964131,12992.5573297508,13716.9307605368,13076.3912694246,0.394631371132686,0.00604042733100321,0.403372446307609,0.0059438003251005,-0.00874107517492276,0.982278853116867,1,1,0
"77","ENSG00000090530","P3H2",55214,1756.88465874996,2073.13679380097,2065.85299132903,1048.33866536225,1265.09400311494,1114.61856198625,1562.54808662387,1940.30294717316,1945.11929811508,0.745083276135877,3.29213065396715e-05,0.636707265623472,0.00078757527755106,0.108376010512405,0.76089763799055,1,1,0
"78","ENSG00000091622","PITPNM3",83394,654.353347314335,664.707509398786,729.308707544946,333.379728831675,451.274105183534,506.744730843849,714.250533834469,717.382479227796,694.546108454333,0.62472325645285,0.00271631638324365,0.676112367144533,0.00123527390167799,-0.0513891106916834,0.913550849518309,1,1,0
"79","ENSG00000092051","JPH4",84502,1645.34715636683,1360.03304671936,1922.91265809061,725.669931834408,791.876336791403,787.048215367019,1675.5877369366,1543.57599221766,2266.054227443,1.02259606301514,7.40715778572599e-07,1.16730175114802,1.06350520502417e-08,-0.144705688132877,0.722839344251421,1,1,0
