UNIPROT,Gene,PSMs_bio3,Peptides_bio3,Unique Peptides_bio3,PSMs_bio2,Peptides_bio2,Unique Peptides_bio2,PSMs_bio1,Peptides_bio1,Unique Peptides_bio1
Q9BYJ9,YTHDF1,NA,NA,NA,3,3,2,4,2,2
Q99700,ATXN2,4,3,3,6,3,3,NA,NA,NA
O14653,GOSR2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13751,LAMB3,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15260,SURF4,NA,NA,NA,NA,NA,NA,NA,NA,NA
P01857|P0DOX5,IGHG1|,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q92783,STAM,9,7,6,7,5,4,4,2,2
O14662,STX16,NA,NA,NA,NA,NA,NA,NA,NA,NA
P61019,RAB2A,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q14C86,GAPVD1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y394,DHRS7,NA,NA,NA,NA,NA,NA,NA,NA,NA
P21980,TGM2,3,2,2,8,3,3,NA,NA,NA
Q6ZSJ8,C1orf122,NA,NA,NA,NA,NA,NA,NA,NA,NA
C9JLW8,MCRIP1,NA,NA,NA,6,3,3,NA,NA,NA
Q63HN8,RNF213,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q53GG5,PDLIM3,NA,NA,NA,NA,NA,NA,NA,NA,NA
P21796,VDAC1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96CW1,AP2M1,5,4,4,8,5,5,3,2,2
A5YKK6,CNOT1,2,2,2,3,2,2,NA,NA,NA
Q9H0E2,TOLLIP,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WVB6,CHTF18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NXE4,SMPD4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15436,SEC23A,28,16,14,24,13,11,35,16,14
P84022,SMAD3,NA,NA,NA,3,2,2,NA,NA,NA
P63010,AP2B1,6,4,3,6,4,4,6,5,5
Q15596,NCOA2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96M27,PRRC1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O95208,EPN2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O60610,DIAPH1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NTX5,ECHDC1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8IWC1,MAP7D3,NA,NA,NA,NA,NA,NA,NA,NA,NA
P13637,ATP1A3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UKX2,MYH2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96ER9,CCDC51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y2R5,MRPS17,NA,NA,NA,2,2,2,NA,NA,NA
Q92925,SMARCD2,9,5,5,6,4,4,5,4,4
P01764|P01772,IGHV3-23|IGHV3-33,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UJY1,HSPB8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q63ZY3,KANK2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5BJH7,YIF1B,NA,NA,NA,NA,NA,NA,NA,NA,NA
